,lower anxiety,upper anxiety
2025-07-01,62.69326890353115,84.7059199270543
2025-08-01,65.36918235658123,88.75355431960362
2025-09-01,71.43492268749816,91.27054243160767
2025-10-01,68.9432349403349,90.27342390821049
2025-11-01,67.01306308349699,89.46632102565039
2025-12-01,59.9214545708669,86.20814425961662
2026-01-01,64.46164631996895,88.34958924639938
2026-02-01,67.06625970652303,89.48898907279856
2026-03-01,71.31146300964578,91.22227526976258
2026-04-01,69.70478140897858,90.58339087476627
2026-05-01,61.60882088029662,87.02841438628843
2026-06-01,68.36397676969055,90.03448512754942
2026-07-01,66.43986587059868,89.55649128974159
2026-08-01,66.8053062727024,89.84933596634
2026-09-01,71.83784395013583,91.81635223697667
2026-10-01,72.96074642665495,92.22886468887464
2026-11-01,65.70700168867458,89.3923893895922
2026-12-01,60.426444582592,87.03946957542925
2027-01-01,66.79083761753354,89.84338412702947
2027-02-01,71.38649407440735,91.64795406404684
2027-03-01,84.97583031336036,96.13588734323582
2027-04-01,76.06400835428025,93.32321777624921
2027-05-01,63.01533514479886,88.22661889402588
2027-06-01,62.59424216016844,88.0380731200882
2027-07-01,57.7865969294074,88.87676581759204
2027-08-01,60.75743623922247,90.98696337329459
2027-09-01,66.96353165847276,92.96599756337389
2027-10-01,65.35069934278668,92.47999081701168
2027-11-01,61.719767580382104,91.3139923819866
2027-12-01,54.796763879140435,88.76902420111028
2028-01-01,60.056156971884285,90.74357614460449
2028-02-01,63.421079155202854,91.87326240060143
2028-03-01,71.42197817190679,94.21839862115148
2028-04-01,66.92093953432928,92.95339995148458
2028-05-01,56.79945046377396,89.55358400512051
2028-06-01,61.92781057330645,91.38365791045649
2028-07-01,59.573889551869456,91.10118960551286
2028-08-01,60.8186185935569,91.7221067585011
2028-09-01,66.49488035981925,93.40684519048558
2028-10-01,66.9778511737846,93.53959023045765
2028-11-01,60.22021243421206,91.5299321964276
2028-12-01,54.28986827536477,89.44927950150017
2029-01-01,60.619411835143005,91.65846473827354
2029-02-01,65.18619106964908,93.03924128851631
2029-03-01,78.98609953279694,96.40737844420919
2029-04-01,69.96533983379607,94.3276689835407
2029-05-01,56.80745586195983,90.3738079865876
2029-06-01,57.88293088988558,90.74962178105181
2029-07-01,54.28810919646818,90.94270780911627
2029-08-01,57.07736901243297,92.3429209466179
2029-09-01,63.36849110933072,94.00802288257918
2029-10-01,62.2742448294233,93.73856027819822
2029-11-01,57.63815283506366,92.50349083197025
2029-12-01,50.854002332171035,90.3698465771866
2030-01-01,56.496034855975,92.17370731534454
2030-02-01,60.304550959516206,93.23307302803892
2030-03-01,70.53208908578435,95.59642497453508
2030-04-01,64.32918365266772,94.23826112258342
2030-05-01,53.02013919902317,91.0991990740137
2030-06-01,57.16089796246786,92.3670019913309
