,lower anxiety,upper anxiety
2025-07-01,65.13396337353603,86.16423045256622
2025-08-01,66.70750285784985,89.54947680151136
2025-09-01,72.60281537431555,91.89181232479089
2025-10-01,70.23608564783024,90.98439010853927
2025-11-01,67.99206135389325,90.08374672365767
2025-12-01,61.79691473146352,87.37002488565257
2026-01-01,66.40184163544966,89.42026129178113
2026-02-01,69.89494359296475,90.8500666200733
2026-03-01,74.88643895974869,92.72874431292287
2026-04-01,72.43621948729468,91.82930310400164
2026-05-01,66.0107740675517,89.25374784368962
2026-06-01,71.75034096325525,91.56980634875113
2026-07-01,68.0679188883093,90.4754258037181
2026-08-01,66.81742572952193,90.13803850758232
2026-09-01,71.3771815450958,91.88264914333446
2026-10-01,71.8365185141985,92.0495839406208
2026-11-01,63.83999492037077,88.90561413866416
2026-12-01,59.612316340434894,87.01219948446688
2027-01-01,67.02932889493012,90.22281422066301
2027-02-01,73.08610041645726,92.49605634843287
2027-03-01,86.33722035682379,96.63155244762727
2027-04-01,78.17072280107728,94.20465743596618
2027-05-01,66.6471377459722,90.06963735901516
2027-06-01,66.25552863356756,89.91140095129379
2027-07-01,60.16223852577723,90.04287445736051
2027-08-01,61.778774544422255,91.55268038325963
2027-09-01,67.71556807357199,93.36187628059197
2027-10-01,66.03419133358952,92.87558108884481
2027-11-01,61.86106253098777,91.57960626416325
2027-12-01,55.92687215056171,89.48316185978388
2028-01-01,61.61355499103113,91.4984489637568
2028-02-01,66.18102025781525,92.91882606301222
2028-03-01,74.90458730591423,95.24158593146471
2028-04-01,69.83499667966596,93.94819896690989
2028-05-01,61.200941343573376,91.36201927964858
2028-06-01,65.50721907652488,92.71911451396842
2028-07-01,61.30632569088389,91.9382508564698
2028-08-01,60.98101603627684,92.06944670979405
2028-09-01,66.23677576287827,93.57877219654802
2028-10-01,66.1047434439769,93.54323468499365
2028-11-01,58.75988259423435,91.36742003270278
2028-12-01,53.886206346746775,89.66963866889972
2029-01-01,61.09473736730551,92.10429542596383
2029-02-01,67.13671412170898,93.81797475821627
2029-03-01,80.79551675143817,96.89991848486164
2029-04-01,72.3045812472872,95.09672719507131
2029-05-01,60.68294830554605,91.97761362973907
2029-06-01,61.66168875882088,92.27650035017747
2029-07-01,56.51721726767509,91.93119929636222
2029-08-01,57.82291911232606,92.81020138351386
2029-09-01,63.79468028081211,94.31538194467142
2029-10-01,62.499437173365756,94.00944098537154
2029-11-01,57.23001569471169,92.64656614798383
2029-12-01,51.48521878729058,90.90249473751513
2030-01-01,57.735435674910576,92.78623213598955
2030-02-01,62.92224506747081,94.11047439911994
2030-03-01,73.84406547156597,96.37496859582804
2030-04-01,67.24488434312772,95.08145957280227
2030-05-01,57.31086250236331,92.66904415097807
2030-06-01,60.78810203300622,93.58849447257278
