,lower anxiety,upper anxiety
2025-07-01,67.55043337445443,91.65942331905634
2025-08-01,63.47433826074458,90.17096498776321
2025-09-01,69.99654311483901,92.49026779105412
2025-10-01,73.72116292807257,93.67496831222414
2025-11-01,65.59496600691288,90.96237024695938
2025-12-01,61.34641256796147,89.33701199048305
2026-01-01,67.243399242279,91.55196777473702
2026-02-01,72.33927254901391,93.24618499767806
2026-03-01,88.97809491342535,97.70791142260202
2026-04-01,77.69354428105672,94.84224962091261
2026-05-01,61.00560041235339,89.1995368015423
2026-06-01,57.77734088313314,87.8400650647381
2026-07-01,59.595107842212535,93.9434326886221
2026-08-01,55.18272944871283,92.83064757259623
2026-09-01,62.30626207101946,94.56028682041438
2026-10-01,66.52902318689667,95.43459456607779
2026-11-01,57.46213572565233,93.42354397228152
2026-12-01,52.929968248369505,92.20282106746954
2027-01-01,59.258201836280676,93.86342945362082
2027-02-01,64.94875902778915,95.11886411245449
2027-03-01,85.1184899661018,98.36533611662375
2027-04-01,71.16329218113158,96.29005147844514
2027-05-01,52.57231981342059,92.09902279084831
2027-06-01,49.226959690466785,91.06793409375531
2027-07-01,53.10174841131387,95.28437511050778
2027-08-01,48.59195903328999,94.40324536110367
2027-09-01,55.92637610326461,95.77082708096374
2027-10-01,60.40970533402293,96.45789315676339
2027-11-01,50.90836405994964,94.87329067234455
2027-12-01,46.33011587001106,93.9040700186414
2028-01-01,52.753623823753216,95.22118083820315
2028-02-01,58.71979971699391,96.21010517614458
2028-03-01,81.45005647655498,98.74055064064038
2028-04-01,65.45122997184119,97.12742049919935
2028-05-01,45.97350626802979,93.82139868403293
2028-06-01,42.67026469145765,92.99796510617333
2028-07-01,47.53539570715265,96.19083499849523
2028-08-01,43.06425158420425,95.47099367175115
2028-09-01,50.38201708079166,96.5871481448091
2028-10-01,54.975280152484416,97.14558014679913
2028-11-01,45.34960334069445,95.85531711097606
2028-12-01,40.85522412698502,95.06205254469063
2029-01-01,47.18704641501613,96.13929344766002
2029-02-01,53.23299005563229,96.94436169913662
2029-03-01,77.84445419828351,98.98983753279401
2029-04-01,60.25350557973866,97.68827361894229
2029-05-01,40.508947939318126,94.99424570781837
2029-06-01,37.327063454829016,94.31762739079593
2029-07-01,42.67710772994354,96.84874059187032
2029-08-01,38.3290791659758,96.24834604634319
2029-09-01,45.48502641024366,97.17862975215353
2029-10-01,50.0824686607582,97.64267058008339
2029-11-01,40.542079786442116,96.56909000052201
2029-12-01,36.208473532473775,95.90656999262195
2030-01-01,42.33563169592567,96.80580315821726
2030-02-01,48.32879984184224,97.47557094709221
2030-03-01,74.27380648947208,99.16861834920518
2030-04-01,55.469666516494314,98.09274416311281
2030-05-01,35.8776902198735,95.8498512447438
2030-06-01,32.85865022177205,95.283117837324
